sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave,proposicao_id,documento_id,comissao_sigla,verdict_estrutural,verdict_prosa,clausula,via
77774,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-09-04,2024,34,9,20967,api_i8,,normalizar,20967,131077,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Concluídas as considerações, no âmbito desta Comissão de Assuntos Sociais, votamos, no mérito, pela aprovação do Projeto de Lei nº 1212/2024.",parecer_autor
77775,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-09-04,2024,34,9,21037,api_i8,,normalizar,21037,131103,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"Diante do exposto, nosso voto é pela APROVAÇÃO do Projeto de Decreto Legislativo nº 165/24. Deputado MARTINS MACHADO Relator",parecer_autor
77776,59,Deputado Pastor Daniel de Castro,PP,3,relatou (parecer),2024-10-14,2024,34,9,21062,api_i8,,normalizar,21062,136326,GAB DEP PR DANIEL DE CASTRO,Aprovado(a),merito_favoravel,"Por todo o exposto, somos pela APROVAÇÃO do Projeto de Lei 1218/2024, no âmbito desta Comissão de Assuntos Sociais.",parecer_autor
77777,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-09-04,2024,34,9,21063,api_i8,,normalizar,21063,131106,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"Diante do exposto, nosso voto é pela APROVAÇÃO do Projeto de Decreto Legislativo nº 168/2024. Deputado MARTINS MACHADO Relator",parecer_autor
77778,57,Deputado Ricardo Vale,PT,3,relatou (parecer),2024-09-24,2024,34,9,21099,api_i8,,normalizar,21099,134096,GAB DEP RICARDO VALE,Não apreciado(a),merito_favoravel,"Diante disso, voto pela APROVAÇÃO do Projeto de Lei nº 1.226, de 2024.",parecer_autor
77779,34,Deputado Roosevelt Vilela,PL,3,relatou (parecer),2024-10-08,2024,34,9,21152,api_i8,,normalizar,21152,135332,GAB DEP ROOSEVELT VILELA,Aprovado(a),sem_clausula,,parecer_autor
77780,62,Deputado Joaquim Roriz Neto,PL,3,relatou (parecer),2024-09-13,2024,34,9,21169,api_i8,,normalizar,21169,132379,GAB DEP JOAQUIM RORIZ NETO,Aprovado(a),merito_favoravel,"Ante o exposto, no âmbito da Comissão de Desenvolvimento Econômico, Sustentável, Ciência, Tecnologia, Meio Ambiente e Turismo, voto pela APROVAÇÃO do Projeto de Lei nº 1.237/2024.",parecer_autor
77781,33,Deputado Robério Negreiros,PSD,3,relatou (parecer),2024-10-23,2024,34,9,21183,api_i8,,normalizar,21183,139374,GAB DEP ROBÉRIO NEGREIROS,Não apreciado(a),admissivel,"4. (...) (...) § 2º No caso de inadmissibilidade de impugnação contra o lançamento: I – o interessado será cientificado na forma do art. 11; II – caberá o recurso previsto no art. 110.” ANTE O EXPOSTO, manifesta-se voto pela ADMISSIBILIDADE CONSTITUCIONAL E JURÍDICA DO PROJETO DE LEI Nº 1.238/2024, com a emenda de relator anexa (de redação) e com as Emendas de Plenário nºs 3 e 4.",parecer_autor
77782,61,Deputada Doutora Jane,REPUBLICANOS,3,relatou (parecer),2024-10-01,2024,34,9,21232,api_i8,,normalizar,21232,134919,GAB DEP DOUTORA JANE,Aprovado(a),merito_favoravel,"Seguindo esta linha de intelecção, no âmbito desta Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia, Meio Ambiente e Turismo, manifestamos voto pela APROVAÇÃO, no mérito, do Projeto de Lei nº 1245/2024.",parecer_autor
77783,57,Deputado Ricardo Vale,PT,3,relatou (parecer),2024-11-18,2024,34,9,21233,api_i8,,normalizar,21233,277739,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Por esses motivos, voto pela aprovação do Projeto de Lei nº 1.279, de 2024.",parecer_autor
77784,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-11-06,2024,34,9,21319,api_i8,,normalizar,21319,276319,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"Portanto, votamos, no mérito, pela aprovação do Projeto de Lei n.º 1252, de 2024.",parecer_autor
77785,59,Deputado Pastor Daniel de Castro,PP,3,relatou (parecer),2024-10-01,2024,34,9,21322,api_i8,,normalizar,21322,134857,GAB DEP PR DANIEL DE CASTRO,Não apreciado(a),sem_clausula,,parecer_autor
77786,19,Deputado Eduardo Pedrosa,UNIÃO,3,relatou (parecer),2024-09-09,2024,34,9,21416,api_i8,,normalizar,21416,131650,CEOF,Aprovado(a),merito_favoravel,"posto, tendo em vista que a proposição observa as exigências formais e materiais do ordenamento jurídico e favorece o desenvolvimento da atuação governamental, no âmbito desta COMISSÃO DE ECONOMIA, ORÇAMENTO E FINANÇAS, manifestamos voto pela APROVAÇÃO e ADMISSIBILIDADE do Projeto de Lei nº 1.257/2024, de autoria do Poder Executivo.",parecer_autor
77787,65,Deputado Pepa,PP,3,relatou (parecer),2024-09-09,2024,34,9,21418,api_i8,,normalizar,21418,131618,GAB DEP PEPA,Não apreciado(a),sem_clausula,,parecer_autor
77788,59,Deputado Pastor Daniel de Castro,PP,3,relatou (parecer),2024-10-25,2024,34,9,21470,api_i8,,normalizar,21470,139690,GAB DEP PR DANIEL DE CASTRO,Não apreciado(a),merito_favoravel,"Ante o exposto, voto pela aprovação do Projeto de Lei nº 1265 de 2024, por sua importância para a segurança e o reconhecimento profissional dos Agentes Socioeducativos e dos Agentes ou Comissários de Proteção da Infância e da Juventude no Distrito Federal.",parecer_autor
